top - 00:32:23 up  1:09,  1 user,  load average: 19.62, 18.25, 15.87
Tasks: 454 total,   3 running, 451 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.9 us,  6.0 sy,  0.0 ni, 32.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15911.2 total,   4096.4 free,   7408.0 used,   4406.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   8007.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    912 root      20   0  240748   7424   6784 S   0.0   0.0   0:00.09 accounts-daemon
    913 root      20   0    2816   1792   1792 S   0.0   0.0   0:06.22 acpid
    916 avahi     20   0    7712   3788   3532 S   0.0   0.0   0:00.03 avahi-daemon
    917 root      20   0   10596   5372   4988 S   0.0   0.0   0:00.05 bluetoothd
    919 root      20   0   10136   2776   2648 S   0.0   0.0   0:00.00 cron
    921 message+  20   0   11296   6144   3968 S   0.0   0.0   0:00.70 dbus-daemon
    922 root      20   0  335656  18712  15768 S   0.0   0.1   0:00.42 NetworkManager
    924 root      20   0   13828   4424   3648 S   0.0   0.0   0:00.00 cron
    930 root      20   0   82848   3956   3572 S   0.0   0.0   0:00.19 irqbalance
    931 root      20   0   41676  20764  11676 S   0.0   0.1   0:00.06 networkd-dispat
    934 root      20   0  243380  10312   6980 S   0.0   0.1   0:00.97 polkitd
    936 root      20   0  240744   7652   7012 S   0.0   0.0   0:00.03 power-profiles-
    938 syslog    20   0  222404   5760   4096 S   0.0   0.0   0:00.07 rsyslogd
    945 root      20   0 2281704  32192  19048 S   0.0   0.2   0:00.84 snapd
    948 root      20   0  237120   6704   6320 S   0.0   0.0   0:00.03 switcheroo-cont
    951 root      20   0   48256   8092   6912 S   0.0   0.0   0:00.10 systemd-logind
    952 root      20   0  129104   9172   8404 S   0.0   0.1   0:00.04 thermald
    954 root      20   0  467468  14044  10588 S   0.0   0.1   0:00.20 udisksd
    955 root      20   0   17704  10496   8832 S   0.0   0.1   0:00.05 wpa_supplicant
    962 avahi     20   0    7444   1684   1408 S   0.0   0.0   0:00.00 avahi-daemon
    965 aidan     20   0    2892   1632   1632 S   0.0   0.0   0:00.00 sh
